loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_kepflag,pl_k2flag,pl_nnotes,st_teff,st_tefferr1,st_tefferr2,st_tefflim,pl_facility
1,11 Com,b,11 Com b,Radial Velocity,1,0,0,0,4742,100,-100,0,Xinglong Station
2,11 UMi,b,11 UMi b,Radial Velocity,1,0,0,0,4213,46,-46,0,Thueringer Landessternwarte Tautenburg
3,14 And,b,14 And b,Radial Velocity,1,0,0,0,4813,20,-20,0,Okayama Astrophysical Observatory
4,14 Her,b,14 Her b,Radial Velocity,1,0,0,0,5338,25,-25,0,W. M. Keck Observatory
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,1,0,0,0,5750,8,-8,0,Multiple Observatories
6,18 Del,b,18 Del b,Radial Velocity,1,0,0,0,4979,18,-18,0,Okayama Astrophysical Observatory
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,1,0,0,0,4060,300,-200,0,Gemini Observatory
8,24 Boo,b,24 Boo b,Radial Velocity,1,0,0,0,4893,15,-15,0,Okayama Astrophysical Observatory
9,24 Sex,b,24 Sex b,Radial Velocity,2,0,0,0,5098,44,-44,0,Lick Observatory
10,24 Sex,c,24 Sex c,Radial Velocity,2,0,0,0,5098,44,-44,0,Lick Observatory
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,1,0,0,0,3530,50,-50,0,W. M. Keck Observatory
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,1,0,0,0,3064,76,-76,0,Cerro Tololo Inter-American Observatory
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,1,0,0,0,,,,,Hubble Space Telescope
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,1,0,0,0,,,,,Paranal Observatory
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,1,0,0,,,,,Kepler
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,1,0,0,0,2300,80,-80,0,W. M. Keck Observatory
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,1,0,0,1,4045,35,-35,0,W. M. Keck Observatory
18,30 Ari B,b,30 Ari B b,Radial Velocity,1,0,0,0,6331,61,-61,0,Thueringer Landessternwarte Tautenburg
19,4 UMa,b,4 UMa b,Radial Velocity,1,0,0,0,4415,70,-70,0,Thueringer Landessternwarte Tautenburg
20,42 Dra,b,42 Dra b,Radial Velocity,1,0,0,0,4200,70,-70,0,Thueringer Landessternwarte Tautenburg
21,47 UMa,b,47 UMa b,Radial Velocity,3,0,0,0,5892,70,-70,0,Lick Observatory
22,47 UMa,c,47 UMa c,Radial Velocity,3,0,0,0,5892,70,-70,0,Lick Observatory
23,47 UMa,d,47 UMa d,Radial Velocity,3,0,0,0,5892,70,-70,0,Lick Observatory
24,51 Eri,b,51 Eri b,Imaging,1,0,0,1,,,,,Gemini Observatory
25,51 Peg,b,51 Peg b,Radial Velocity,1,0,0,0,5793,70,-70,0,Haute-Provence Observatory
26,55 Cnc,b,55 Cnc b,Radial Velocity,5,0,0,0,5196,24,-24,0,Lick Observatory
27,55 Cnc,c,55 Cnc c,Radial Velocity,5,0,0,0,5196,24,-24,0,McDonald Observatory
28,55 Cnc,d,55 Cnc d,Radial Velocity,5,0,0,0,5196,24,-24,0,Lick Observatory
29,55 Cnc,e,55 Cnc e,Radial Velocity,5,0,0,1,5196,24,-24,0,McDonald Observatory
